Id,Codigo,Nome,Disponivel,DataLiberacao
94426,202507,julho 2025,True,2025-08-12T09:00:00
94332,202506,junho 2025,True,2025-07-10T09:00:00
94144,202505,maio 2025,True,2025-06-10T09:00:00
89372,202504,abril 2025,True,2025-05-09T09:00:00
93607,202503,março 2025,True,2025-04-11T09:00:00
90254,202502,fevereiro 2025,True,2025-03-12T09:00:00
93204,202501,janeiro 2025,True,2025-02-11T09:00:00
92977,202412,dezembro 2024,True,2025-01-10T09:00:00
92778,202411,novembro 2024,True,2024-12-10T09:00:00
92599,202410,outubro 2024,True,2024-11-08T09:00:00
92517,202409,setembro 2024,True,2024-10-09T09:00:00
91626,202408,agosto 2024,True,2024-09-10T09:00:00
91540,202407,julho 2024,True,2024-08-09T09:00:00
91351,202406,junho 2024,True,2024-07-10T09:00:00
91155,202405,maio 2024,True,2024-06-11T09:00:00
90712,202404,abril 2024,True,2024-05-10T09:00:00
90311,202403,março 2024,True,2024-04-10T09:00:00
89896,202402,fevereiro 2024,True,2024-03-12T09:00:00
89526,202401,janeiro 2024,True,2024-02-08T09:00:00
89044,202312,dezembro 2023,True,2024-01-11T09:00:00
60369,202311,novembro 2023,True,2023-12-12T09:00:00
88729,202310,outubro 2023,True,2023-11-10T09:00:00
73180,202309,setembro 2023,True,2023-10-11T09:00:00
68147,202308,agosto 2023,True,2023-09-12T09:00:00
51413,202307,julho 2023,True,2023-08-11T09:00:00
68512,202306,junho 2023,True,2023-07-11T09:00:00
63005,202305,maio 2023,True,2023-06-07T09:00:00
78979,202304,abril 2023,True,2023-05-12T09:00:00
51792,202303,março 2023,True,2023-04-11T09:00:00
89031,202302,fevereiro 2023,True,2023-03-10T09:00:00
88556,202301,janeiro 2023,True,2023-02-09T09:00:00
88015,202212,dezembro 2022,True,2023-01-10T09:00:00
87905,202211,novembro 2022,True,2022-12-09T09:00:00
87548,202210,outubro 2022,True,2022-11-10T09:00:00
87184,202209,setembro 2022,True,2022-10-11T09:00:00
86976,202208,agosto 2022,True,2022-09-09T09:00:00
86791,202207,julho 2022,True,2022-08-09T09:00:00
83323,202206,junho 2022,True,2022-07-08T09:00:00
83248,202205,maio 2022,True,2022-06-09T09:00:00
82813,202204,abril 2022,True,2022-05-11T09:00:00
82565,202203,março 2022,True,2022-04-08T09:00:00
81990,202202,fevereiro 2022,True,2022-03-11T09:00:00
81828,202201,janeiro 2022,True,2022-02-09T09:00:00
73203,202112,dezembro 2021,True,2022-01-11T09:00:00
64727,202111,novembro 2021,True,2021-12-10T09:00:00
50440,202110,outubro 2021,True,2021-11-10T09:00:00
81141,202109,setembro 2021,True,2021-10-08T09:00:00
80979,202108,agosto 2021,True,2021-09-09T09:00:00
80830,202107,julho 2021,True,2021-08-10T09:00:00
78907,202106,junho 2021,True,2021-07-08T09:00:00
77222,202105,maio 2021,True,2021-06-09T09:00:00
76661,202104,abril 2021,True,2021-05-11T09:00:00
75855,202103,março 2021,True,2021-04-09T09:00:00
42140,202102,fevereiro 2021,True,2021-03-11T09:00:00
74957,202101,janeiro 2021,True,2021-02-09T09:00:00
74676,202012,dezembro 2020,True,2021-01-12T09:00:00
74596,202011,novembro 2020,True,2020-12-08T09:00:00
74112,202010,outubro 2020,True,2020-11-06T09:00:00
74054,202009,setembro 2020,True,2020-10-09T09:00:00
73354,202008,agosto 2020,True,2020-09-09T09:00:00
73296,202007,julho 2020,True,2020-08-07T09:00:00
73115,202006,junho 2020,True,2020-07-10T09:00:00
73036,202005,maio 2020,True,2020-06-10T09:00:00
72929,202004,abril 2020,True,2020-05-08T09:00:00
72654,202003,março 2020,True,2020-04-09T09:00:00
72331,202002,fevereiro 2020,True,2020-03-11T09:00:00
71530,202001,janeiro 2020,True,2020-02-07T09:00:00
71493,201912,dezembro 2019,True,2020-01-10T09:00:00
71320,201911,novembro 2019,True,2019-12-06T09:00:00
71005,201910,outubro 2019,True,2019-11-07T09:00:00
70851,201909,setembro 2019,True,2019-10-09T09:00:00
70786,201908,agosto 2019,True,2019-09-06T09:00:00
70660,201907,julho 2019,True,2019-08-08T09:00:00
70367,201906,junho 2019,True,2019-07-10T09:00:00
70252,201905,maio 2019,True,2019-06-07T09:00:00
70066,201904,abril 2019,True,2019-05-10T09:00:00
68924,201903,março 2019,True,2019-04-10T09:00:00
69684,201902,fevereiro 2019,True,2019-03-12T09:00:00
69356,201901,janeiro 2019,True,2019-02-08T09:00:00
67420,201812,dezembro 2018,True,2019-01-11T09:00:00
69022,201811,novembro 2018,True,2018-12-07T09:00:00
68846,201810,outubro 2018,True,2018-11-07T09:00:00
68741,201809,setembro 2018,True,2018-10-05T09:00:00
68624,201808,agosto 2018,True,2018-09-06T09:00:00
67818,201807,julho 2018,True,2018-08-08T09:00:00
67374,201806,junho 2018,True,2018-07-06T09:00:00
67057,201805,maio 2018,True,2018-06-08T09:00:00
66772,201804,abril 2018,True,2018-05-10T09:00:00
66305,201803,março 2018,True,2018-04-10T09:00:00
65902,201802,fevereiro 2018,True,2018-03-09T09:00:00
65802,201801,janeiro 2018,True,2018-02-08T09:00:00
65248,201712,dezembro 2017,True,2018-01-10T09:11:15
65070,201711,novembro 2017,True,2017-12-08T09:00:00
64799,201710,outubro 2017,True,2017-11-10T09:00:00
64629,201709,setembro 2017,True,2017-10-06T09:00:00
64483,201708,agosto 2017,True,2017-09-06T09:00:00
64231,201707,julho 2017,True,2017-08-09T09:00:00
63871,201706,junho 2017,True,2017-07-07T09:00:35
63738,201705,maio 2017,True,2017-06-09T09:00:00
58916,201704,abril 2017,True,2017-05-10T09:00:00
63228,201703,março 2017,True,2017-04-07T09:00:00
61441,201702,fevereiro 2017,True,2017-03-10T09:00:00
61355,201701,janeiro 2017,True,2017-02-08T09:00:00
60850,201612,dezembro 2016,True,2017-01-11T09:00:00
60314,201611,novembro 2016,True,2016-12-09T09:00:00
60214,201610,outubro 2016,True,2016-11-09T09:00:00
60101,201609,setembro 2016,True,2016-10-07T09:00:00
59236,201608,agosto 2016,True,2016-09-09T09:00:00
59007,201607,julho 2016,True,2016-08-10T09:00:00
51936,201606,junho 2016,True,2016-07-08T09:00:00
51740,201605,maio 2016,True,2016-06-08T09:00:00
58581,201604,abril 2016,True,2016-05-06T09:00:00
58341,201603,março 2016,True,2016-04-08T09:00:00
57910,201602,fevereiro 2016,True,2016-03-09T09:00:00
57637,201601,janeiro 2016,True,2016-02-05T09:00:00
57499,201512,dezembro 2015,True,2016-01-08T09:00:00
57403,201511,novembro 2015,True,2015-12-09T09:00:00
57240,201510,outubro 2015,True,2015-11-06T09:00:00
56515,201509,setembro 2015,True,2015-10-07T09:00:00
56319,201508,agosto 2015,True,2015-09-10T09:00:00
56141,201507,julho 2015,True,2015-08-07T09:00:00
55786,201506,junho 2015,True,2015-07-08T09:00:00
